t	x	y
0.0	-0.0019123837476370253	1.0250979043843624
0.03333333333333326	-0.001929293234106566	1.0246579715539474
0.06666666666666651	-0.002232557819459413	1.021045345836526
0.1	-5.204539068207059E-4	1.0022541950711217
0.1333333333333335	-0.003577069373589925	0.9804342655941921
0.16666666666666674	0.0017296734057155039	0.941319007175642
0.2	6.276297044865986E-5	0.9009948137962853
0.23333333333333325	-1.850981998212653E-4	0.8486756533951448
0.2666666666666667	0.00339624746005851	0.7864886230034591
0.3	0.0019424134676043203	0.7178272518808271
0.3333333333333335	0.0029806620586317334	0.6424400210977441
0.36666666666666653	0.0035334827206513486	0.5617649147658481
0.4	0.005332141089877229	0.4753989015049326
0.43333333333333324	0.0071069489530717345	0.3946572072482153
0.46666666666666673	0.014149941050228376	0.2836449665636026
0.5000000000000002	0.01356377814502574	0.20984632108277446
0.5333333333333332	0.015455516203815745	0.10398313620563338
0.5666666666666668	0.027362264345390075	-0.009250744240528519
0.6	0.013827094137229101	0.05915796525757666
