t	y	x
0.0	1.0371757296603217	0.0034089160839120836
0.033333333333333375	1.0344070514170338	0.0034041813221645234
0.06666666666666662	1.0106260193974546	0.005503549674222674
0.1	0.9873116574559813	0.0035402526978075555
0.13333333333333325	0.9524807913779982	0.003642685765941178
0.16666666666666663	0.9032467580105057	0.0034510575960605694
0.20000000000000012	0.8492207282789548	0.0015382116942819213
0.23333333333333336	0.779838677781252	-7.574108200295582E-4
0.26833333333333337	0.7074216486272449	0.008405190038958621
0.30166666666666664	0.6224849913914524	0.008405190038958621
0.33500000000000013	0.5175632383354735	0.01090332701648189
0.36833333333333335	0.4007244934851233	0.007885226210063656
0.4016666666666666	0.29273091035837584	0.015899600971528538
0.4349999999999999	0.16282778752716376	0.020895874926575186
0.4683333333333334	0.030426527718428353	0.013401463994005214
