t	y	x
0.0	1.0358729251629997	-1.688443255320471E-4
0.033333333333333375	1.0269640778605456	-0.0037480911844665066
0.06666666666666686	0.9982652976088919	-0.0060906177532213945
0.10000000000000012	0.9585682001194897	0.002324856482323223
0.13333333333333336	0.915238711046785	-9.14605098503718E-5
0.16666666666666663	0.85201093310833	0.0015163727872690158
0.20166666666666686	0.7829949578548837	-6.830579258640945E-4
0.23500000000000013	0.7096977984208002	0.00955135990193795
0.26833333333333337	0.6219896397088301	0.0075293936595818844
0.30166666666666664	0.5138923798628158	0.011448549300004163
0.33500000000000013	0.4033450891048356	0.01621812798772715
0.3683333333333336	0.28221405391048837	0.018756179132932427
0.40166666666666684	0.15047734420434156	0.021025404068963582
0.4350000000000001	0.008468192326674728	0.012299659713743916
